return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression,Snappy,Telco-171-total_outgoing_rev_p1,104857600,10.381728,1.038005,f32,25600,4
0,"","",decompression_query,Bitcomp,Telco-33-free_mins_p1,104857600,3.856032,1.116679,f32,25600,1
0,"","",decompression,zstd,stocks_usa_c,209715200,83.437729,7.403297,f64,25600,7
0,"","",decompression_query,zstd,medicare9,209715200,86.544258,4.164827,f64,25600,1
0,"","",decompression_query,GDeflate,Telco-158-total_outgoing_min_p3,104857600,17.594496,1.462585,f32,25600,3
0,"","",decompression,BitcompSparse,Physicians-8-line_srvc_cnt,104857600,3.109824,1.008564,f32,25600,9
0,"","",decompression,BitcompSparse,gov26,209715200,1.506176,122.359970,f64,25600,1
0,"","",decompression,LZ4,basel_wind_f,209715200,36.926689,2.214128,f64,25600,6
0,"","",decompression,Deflate,Telco-152-total_mins_p2,104857600,112.865501,1.286959,f32,25600,8
0,"","",decompression,LZ4,neon_air_pressure,209715200,32.525986,2.667585,f64,25600,2
0,"","",decompression,Bitcomp,Telco-22-chrgd_rev_p1,104857600,1.954016,1.084810,f32,25600,8
0,"","",decompression,BitcompSparse,basel_temp_f,209715200,3.063168,0.998294,f64,25600,4
0,14.997734,101.303398,decompression,GALP,Telco-95-onnet_mins_p3,104857600,1.353440,1.576276,f32,25600,10
0,"","",decompression,GDeflate,cms25,209715200,34.087776,1.055848,f64,25600,7
0,"","",decompression_query,zstd,Telco-22-chrgd_rev_p1,104857600,35.282143,1.495213,f32,25600,10
0,"","",decompression,BitcompSparse,medicare9,209715200,5.412320,1.243939,f64,25600,4
0,"","",decompression_query,LZ4,Telco-156-total_outgoing_min_p1,104857600,14.445088,1.064052,f32,25600,3
0,"","",decompression,BitcompSparse,cms25,209715200,3.084288,1.000204,f64,25600,7
0,"","",decompression_query,Thrust,basel_temp_f,209715200,5.178208,1.000000,f64,25600,2
0,"","",decompression,LZ4,neon_air_pressure,209715200,32.484928,2.667585,f64,25600,6
0,"","",decompression,GDeflate,Telco-22-chrgd_rev_p1,104857600,16.964224,1.365514,f32,25600,2
0,"","",decompression_query,LZ4,bitcoin_f,209715200,19.141825,3.880106,f64,25600,4
0,10.570820,2.272852,decompression,ALP,stocks_de,209715200,2.053984,5.907152,f64,25600,7
0,16.187344,55.622461,decompression_query,GALP,Telco-83-offnet_rev_p1,104857600,0.672224,1.653804,f32,25600,5
0,"","",decompression_query,LZ4,gov30,209715200,19.294048,7.175170,f64,25600,8
0,"","",decompression_query,BitcompSparse,neon_pm10_dust,209715200,4.383616,0.998420,f64,25600,4
0,"","",decompression_query,GDeflate,basel_wind_f,209715200,35.615135,1.078927,f64,25600,9
0,"","",decompression_query,zstd,cms25,209715200,53.824993,1.103941,f64,25600,3
0,"","",decompression_query,GDeflate,Telco-95-onnet_mins_p3,104857600,17.563648,1.558195,f32,25600,1
0,"","",decompression,zstd,neon_bio_temp_c,209715200,95.747810,3.717632,f64,25600,1
0,"","",decompression_query,LZ4,spain_gas_price_f64,209715200,39.184608,2.884484,f64,25600,2
0,"","",decompression,Bitcomp,cms9,209715200,8.453440,1.169553,f64,25600,10
0,"","",decompression_query,GDeflate,Telco-171-total_outgoing_rev_p1,104857600,18.476065,1.183767,f32,25600,1
0,16.626211,101.922148,decompression_query,ALP,Telco-22-chrgd_rev_p1,104857600,3.549568,1.491251,f32,25600,9
0,"","",decompression,Snappy,neon_wind_dir,209715200,56.553951,1.740425,f64,25600,6
0,"","",decompression_query,Bitcomp,Telco-33-free_mins_p1,104857600,3.855936,1.116679,f32,25600,6
0,"","",decompression_query,Bitcomp,Telco-151-total_mins_p1,104857600,2.720608,1.075318,f32,25600,2
0,"","",decompression,Deflate,medicare9,209715200,198.841766,3.354281,f64,25600,8
0,"","",decompression,Deflate,medicare1,209715200,217.544098,1.187978,f64,25600,7
0,"","",decompression_query,GDeflate,food_prices,209715200,34.864674,1.775993,f64,25600,6
