kernel_index,duration_ns,sample_run,encoding,data_type,kernel,unpack_n_vectors,unpack_n_values,unpacker,patcher,start_vbw,end_vbw,start_ec,end_ec,n_cols,n_vecs
0,5472000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
1,5470900,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
2,5477800,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
3,5478500,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
4,5478000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
5,5482000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
6,5477600,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
7,5472500,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
8,5481900,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
9,5472400,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,1,102400
10,16620000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
11,16652000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
12,16637000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
13,16636000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
14,16655999,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
15,16646000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
16,16640999,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
17,16642000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
18,16637000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
19,16913000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,2,102400
20,33938000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
21,33923000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
22,33937000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
23,33946000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
24,33920000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
25,33930000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
26,33926000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
27,33927000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
28,33901000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
29,33923000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,3,102400
30,49487000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
31,49483000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
32,49492000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
33,49490000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
34,49501000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
35,49480000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
36,49479000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
37,49468000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
38,49488000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
39,49505000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,4,102400
40,75258000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
41,75159000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
42,75214000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
43,75251000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
44,75222000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
45,75224000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
46,75214000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
47,75235000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
48,75249000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
49,75264000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,5,102400
50,133960000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
51,133930000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
52,133979999,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
53,133889999,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
54,133919999,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
55,133990000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
56,133949999,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
57,133919999,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
58,133960000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
59,133940000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,6,102400
60,222760000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
61,222740000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
62,222730000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
63,222730000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
64,222690000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
65,222670000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
66,222650000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
67,222700000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
68,222670000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
69,223140000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,7,102400
70,296420000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
71,296560000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
72,296470000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
73,296600000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
74,296580000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
75,296510000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
76,296570000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
77,296560000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
78,296600000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
79,296680000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,8,102400
80,392950000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
81,392790000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
82,392820000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
83,392910000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
84,393090000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
85,392790000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
86,392810000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
87,392870000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
88,392870000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
89,392820000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,9,102400
90,537820000,1,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
91,537760000,2,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
92,537640000,3,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
93,537640000,4,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
94,537700000,5,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
95,538020000,6,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
96,537750000,7,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
97,537490000,8,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
98,537760000,9,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
99,537670000,10,ALP,f64,query_multi_column,4,1,stateful_branchless,naive,3,8,20,20,10,102400
0,2358600,1,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
1,2355100,2,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
2,2356200,3,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
3,2355600,4,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
4,2355100,5,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
5,2357200,6,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
6,2356200,7,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
7,2355200,8,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
8,2354700,9,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
9,2354900,10,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,1,102400
10,9063200,1,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
11,9201000,2,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
12,9164600,3,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
13,9165800,4,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
14,9161600,5,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
15,9153900,6,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
16,9184600,7,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
17,9211400,8,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
18,9168800,9,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
19,9183900,10,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,2,102400
20,6779700,1,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,3,102400
21,6776000,2,ALP,f32,query_multi_column,4,1,stateful_branchless,naive_branchless,3,8,20,20,3,102400
